matchId,teamId,total_passes,total_shots,shots_on_target,fouls_committed,tackles,clearances,successful_events,successful_passes,eventId,total_events,pass_success_rate,shot_accuracy,possession_ratio,opponentId,goals_for,goals_against,home_away,team_name,result,result_label
2499791,1628,411,12,4,7,93,14,522,320,877,430,0.7786,0.3333,0.9558,1610,2,1,home,Crystal Palace,Win,2
2499792,1627,313,3,0,6,58,25,421,242,750,322,0.7732,0.0,0.972,1631,1,1,home,West Bromwich Albion,Draw,1
2499792,1631,477,8,3,13,69,8,563,376,832,498,0.7883,0.375,0.9578,1627,1,1,away,Leicester City,Draw,1
2499793,1611,328,6,1,13,100,15,443,263,804,347,0.8018,0.1667,0.9452,1612,0,0,away,Manchester United,Draw,1
2499793,1612,580,18,5,7,70,14,749,504,1003,605,0.869,0.2778,0.9587,1611,0,0,home,Liverpool,Draw,1
2499794,1625,869,16,11,4,45,3,948,800,1130,889,0.9206,0.6875,0.9775,1639,7,2,home,Manchester City,Win,2
2499794,1639,191,6,1,8,45,11,265,157,511,205,0.822,0.1667,0.9317,1625,2,7,away,Stoke City,Loss,0
2499795,1613,347,18,6,12,77,8,455,279,797,377,0.804,0.3333,0.9204,1619,2,2,home,Newcastle United,Draw,1
2499795,1619,568,11,1,12,63,18,701,487,964,591,0.8574,0.0909,0.9611,1613,2,2,away,Southampton,Draw,1
2499796,1673,526,7,2,16,76,14,657,456,901,549,0.8669,0.2857,0.9581,10531,0,2,home,Huddersfield Town,Loss,0
2499796,10531,331,6,4,12,85,15,457,273,768,349,0.8248,0.6667,0.9484,1673,2,0,away,Swansea City,Win,2
2499797,1624,667,19,6,9,60,11,794,598,1043,695,0.8966,0.3158,0.9597,1659,1,0,away,Tottenham Hotspur,Win,2
2499797,1659,225,4,1,7,59,20,340,175,634,236,0.7778,0.25,0.9534,1624,0,1,home,AFC Bournemouth,Loss,0
2499798,1609,521,9,6,10,72,19,633,446,877,540,0.856,0.6667,0.9648,1644,1,2,home,Arsenal,Loss,0
2499798,1644,455,11,1,9,64,15,573,385,886,475,0.8462,0.0909,0.9579,1609,2,1,away,Watford,Win,2
2499799,1610,432,13,7,13,81,18,593,358,845,458,0.8287,0.5385,0.9432,1644,4,2,away,Chelsea,Win,2
2499799,1644,380,14,4,18,82,15,500,321,848,412,0.8447,0.2857,0.9223,1610,2,4,home,Watford,Loss,0
2499800,1609,603,26,12,15,57,11,720,514,985,644,0.8524,0.4615,0.9363,1623,5,2,home,Arsenal,Win,2
2499800,1623,267,7,3,15,74,19,354,194,694,289,0.7266,0.4286,0.9239,1609,2,5,away,Everton,Loss,0
2499801,1611,739,9,3,13,65,4,851,645,1137,761,0.8728,0.3333,0.9711,1673,1,2,away,Manchester United,Loss,0
2499801,1673,194,5,3,13,94,35,326,124,664,212,0.6392,0.6,0.9151,1611,2,1,home,Huddersfield Town,Win,2
2499802,1625,784,14,9,11,41,9,876,717,1088,809,0.9145,0.6429,0.9691,1646,3,0,away,Manchester City,Win,2
2499802,1646,212,5,0,8,65,9,284,157,553,225,0.7406,0.0,0.9422,1625,0,3,home,Burnley,Loss,0
